Datum,Wochentag,Event,Beduetung,Wertung
14.04.18,Freitag,Good Friday,"Silent Day, public holiday",2
16.04.18,Sonntag,Easter Sunday,Silent Day,1
17.04.18,Montag,Easter Monday,"National holiday, Christian",1
01.05.18,Montag,May Day,National holiday,3
14.05.18,Sonntag,Mother's Day,Observance,2
25.05.18,Donnerstag,Father's Day,Observance,2
25.05.18,Donnerstag,Ascension Day,"National holiday, Christian",3
04.06.18,Sonntag,Whit Sunday,"Observance, Christian",3
05.06.18,Montag,Whit Monday,"National holiday, Christian",3
03.10.18,Dienstag,Day of German Unity,National holiday,2
31.10.18,Dienstag,Halloween,Observance,2
11.11.18,Samstag,St. Martin's Day,"Observance, Christian",2
19.11.18,Sonntag,National Day of Mourning,Silent Day,3
26.11.18,Sonntag,Sunday of the Dead,Silent Day,3
03.12.18,Sonntag,First Advent Sunday,"Observance, Christian",2
06.12.18,Mittwoch,Saint Nicholas Day,"Observance, Christian",2
10.12.18,Sonntag,Second Advent Sunday,"Observance, Christian",2
17.12.18,Sonntag,Third Advent Sunday,"Observance, Christian",2
24.12.18,Sonntag,Christmas Eve,Silent Day,1
24.12.18,Sonntag,Fourth Advent Sunday,"Observance, Christian",2
25.12.18,Montag,Christmas Day,"National holiday, Christian",1
26.12.18,Dienstag,Boxing Day,"National holiday, Christian",1
31.12.18,Sonntag,New Year's Eve,Bank holiday,1
01.01.19,Dienstag,New Year's Day,National holiday,1
14.02.19,Donnerstag,Valentine's Day,Observance,2
04.03.19,Montag,Shrove Monday,"Observance, Christian",2
05.03.19,Dienstag,Carnival / Shrove Tuesday,"Observance, Christian",2
06.03.19,Mittwoch,Carnival / Ash Wednesday,Silent Day,2
18.04.19,Donnerstag,Maundy Thursday,Silent Day,3
19.04.19,Freitag,Good Friday,"Silent Day, public holiday",2
21.04.19,Sonntag,Easter Sunday,Silent Day,1
22.04.19,Montag,Easter Monday,"National holiday, Christian",1
01.05.19,Mittwoch,May Day,National holiday,3
12.05.19,Sonntag,Mother's Day,Observance,2
30.05.19,Donnerstag,Father's Day,Observance,2
30.05.19,Donnerstag,Ascension Day,"National holiday, Christian",3
09.06.19,Sonntag,Whit Sunday,"Observance, Christian",3
10.06.19,Montag,Whit Monday,"National holiday, Christian",3
03.10.19,Donnerstag,Day of German Unity,National holiday,2
31.10.19,Donnerstag,Halloween,Observance,2
11.11.19,Montag,St. Martin's Day,"Observance, Christian",2
17.11.19,Sonntag,National Day of Mourning,Silent Day,3
24.11.19,Sonntag,Sunday of the Dead,Silent Day,3
01.12.19,Sonntag,First Advent Sunday,"Observance, Christian",2
06.12.19,Freitag,Saint Nicholas Day,"Observance, Christian",2
08.12.19,Sonntag,Second Advent Sunday,"Observance, Christian",2
15.12.19,Sonntag,Third Advent Sunday,"Observance, Christian",2
22.12.19,Sonntag,Fourth Advent Sunday,"Observance, Christian",2
24.12.19,Dienstag,Christmas Eve,Silent Day,1
25.12.19,Mittwoch,Christmas Day,"National holiday, Christian",1
26.12.19,Donnerstag,Boxing Day,"National holiday, Christian",1
31.12.19,Dienstag,New Year's Eve,Bank holiday,1
